Journal Name,Sinta URL,P-ISSN,E-ISSN,Subject Area,Affiliation,Accreditation,Scopus Indexed,Garuda Indexed,Impact,H5-index,Citations 5yr,Citations,Website URL
Bercadik.,https://sinta.kemdiktisaintek.go.id/journals/profile/14051,2355-5149,2807-3622,General/Multidisciplinary,Institut Seni Indonesia Padang Panjang,S5,No,Yes,"0,00",6,208.0,241.0,https://journal.isi-padangpanjang.ac.id/index.php/Bercadik
Jurnal Pengabdian Masyarakat Borneo.,https://sinta.kemdiktisaintek.go.id/journals/profile/6225,2615-4323,2579-9797,Social Science & Humanities,LPPM Universitas Borneo Tarakan,S5,No,Yes,"0,00",11,599.0,665.0,http://jurnal.borneo.ac.id/index.php/jpmb/index
Jurnal Al-ittifaq.,https://sinta.kemdiktisaintek.go.id/journals/profile/14908,,2828-1888,General/Multidisciplinary,Universitas Islam Negeri Mahmud Yunus Batusangkar,S5,No,Yes,"0,00",6,135.0,135.0,https://ejournal.uinmybatusangkar.ac.id/ojs/index.php/al-intifaq
Bahas.,https://sinta.kemdiktisaintek.go.id/journals/profile/406,2442-7594,2442-7594,Education,Fakultas Bahasa dan Seni,S5,No,Yes,"0,00",8,286.0,414.0,http://jurnal.unimed.ac.id/2012/index.php/bahas/index
Jurnal Masyarakat Merdeka.,https://sinta.kemdiktisaintek.go.id/journals/profile/13610,2654-8811,2654-9174,Social Science & Humanities,Universitas Merdeka Pasuruan,S5,No,Yes,"0,00",0,0.0,0.0,http://jmm.unmerpas.ac.id/index.php/jmm/index
Jurnal pendidikan bahasa.,https://sinta.kemdiktisaintek.go.id/journals/profile/5740,2252-9896,2502-4183,Education,Program Studi Magister Pendidikan Bahasa dan Sastra Indonesia UHO bekerja sama Pembina Bahasa Indonesia Sulawesi Tenggara,S5,No,No,"0,00",1,2.0,2.0,http://ojs.uho.ac.id/index.php/JPB/issue/archive
Jurnal keperawatan BSI,https://sinta.kemdiktisaintek.go.id/journals/profile/3743,2528-2239,2528-2239,Health,LPPM Universitas Adhirajasa Reswara Sanjaya,S5,No,Yes,"0,00",17,823.0,974.0,http://ejournal.bsi.ac.id/ejurnal/index.php/jk
Journal of Administration and International Development.,https://sinta.kemdiktisaintek.go.id/journals/profile/13296,,2808-7135,General/Multidisciplinary,Politeknik Imigrasi,S5,No,Yes,"0,00",0,0.0,0.0,https://journal.poltekim.ac.id/jaid
International Humanities and Applied Science Journal.,https://sinta.kemdiktisaintek.go.id/journals/profile/7122,2655-6553,2622-5808,Science,Universitas Mercu Buana,S5,No,Yes,"0,00",19,1.068,1.409,http://publikasi.mercubuana.ac.id/index.php/ihasj
Jadila.,https://sinta.kemdiktisaintek.go.id/journals/profile/10003,2745-9578,2723-6900,Education,Yayasan Karinosseff Muda Indonesia,S5,No,Yes,"0,00",11,516.0,521.0,http://ejournal.karinosseff.org/index.php/jadila
Jurnal Skolastik Keperawatan.,https://sinta.kemdiktisaintek.go.id/journals/profile/9025,2443-0935,2443-1699,Health,Universitas Advent Indonesia,S5,No,Yes,"0,00",4,55.0,70.0,http://jurnal.unai.edu/index.php/jsk
Jurnal Keperawatan.,https://sinta.kemdiktisaintek.go.id/journals/profile/13639,2656-1166,2829-131X,Health,Akademi Keperawatan Bunda Delima,S5,No,Yes,"0,00",0,0.0,0.0,https://journal.bundadelima.ac.id/index.php/jkbd
Tarbiyatuna.,https://sinta.kemdiktisaintek.go.id/journals/profile/12496,,2774-5724,Education,institut Agama Islam Darussalam blokagung Banyuwangi,S5,No,Yes,"0,00",1,35.0,35.0,https://ejournal.iaida.ac.id/index.php/Tarbiyatuna
Berkala penelitian agronomi.,https://sinta.kemdiktisaintek.go.id/journals/profile/5117,2089-9858,2502-3314,Agriculture & Forestry,"Program Studi Magister Agronomi, Program Pasca Sarjana, Universitas Halu Oleo",S5,No,Yes,"0,00",8,243.0,386.0,http://ojs.uho.ac.id/index.php/agronomi/issue/archive
Journal of Coastal and Ocean Sciences.,https://sinta.kemdiktisaintek.go.id/journals/profile/11025,2745-4355,2746-4512,Science,Universitas Riau,S5,No,Yes,"0,00",10,341.0,343.0,https://jocos.ejournal.unri.ac.id/index.php/jocos
Jurnal Abdimas PHB.,https://sinta.kemdiktisaintek.go.id/journals/profile/5783,2598-9030,2614-056X,Social Science & Humanities,P3M Politeknik Harapan Bersama,S5,No,Yes,"0,00",13,466.0,536.0,https://ejournal.poltektegal.ac.id/index.php/abdimas
Indonesian Journal Of Energy And Mineral.,https://sinta.kemdiktisaintek.go.id/journals/profile/11406,2775-5142,2797-9911,General/Multidisciplinary,Politeknik Energi Dan Mineral Akamigas,S5,No,Yes,"0,00",2,8.0,8.0,https://akamigas.esdm.go.id/jurnal/index.php/ijoem
Journal of Applied Accounting And Business (JAAB).,https://sinta.kemdiktisaintek.go.id/journals/profile/12869,2685-5569,2686-2638,General/Multidisciplinary,LPPM Politeknik Jambi,S5,No,Yes,"0,00",6,131.0,136.0,http://ojs.politeknikjambi.ac.id/jaab
Journal of Education and Learning Innovation.,https://sinta.kemdiktisaintek.go.id/journals/profile/8770,,2775-6173,"Science, Education",Yayasan Ahmar Cendekia Indonesia,S5,No,Yes,"0,00",13,696.0,700.0,http://jurnal.ahmar.id/index.php/eduline
Broadcomm.,https://sinta.kemdiktisaintek.go.id/journals/profile/13852,,2776-2556,General/Multidisciplinary,Akademi Komunikasi Media Radio & TV Jakarta,S5,No,Yes,"0,00",0,0.0,0.0,https://jurnal.akmrtv.ac.id/index.php/bcomm
Jurnal Kesehatan Delima Pelamonia.,https://sinta.kemdiktisaintek.go.id/journals/profile/6472,2597-7989,2684-8821,Health,Akademi Kebidanan Pelamonia Makassar,S5,No,Yes,"0,00",3,43.0,43.0,https://ojs.akbidpelamonia.ac.id/index.php/journal
Albariq.,https://sinta.kemdiktisaintek.go.id/journals/profile/15177,,2746-3362,Education,Institut Agama Islam Negeri Palu,S5,No,Yes,"0,00",7,149.0,149.0,http://albariq.org/index.php/albariq
UMPurwokerto Law review.,https://sinta.kemdiktisaintek.go.id/journals/profile/10918,2745-3839,2745-5203,Law,Universitas Muhammadiyah Purwokerto,S5,No,Yes,"0,00",3,48.0,48.0,http://jurnalnasional.ump.ac.id/index.php/umplr
Klorofil.,https://sinta.kemdiktisaintek.go.id/journals/profile/9047,,2598-6015,Science,Program Studi Biologi Fakultas Sains dan Teknologi Universitas Islam Negeri Sumatera Utara Medan,S5,No,Yes,"0,00",12,560.0,675.0,http://jurnal.uinsu.ac.id/index.php/klorofil
Jurnal EurekaMatika,https://sinta.kemdiktisaintek.go.id/journals/profile/13076,2776-480X,2528-4231,General/Multidisciplinary,Universitas Pendidikan Indonesia,S5,No,Yes,"0,00",0,0.0,0.0,https://ejournal.upi.edu/index.php/JEM
Surya Medika.,https://sinta.kemdiktisaintek.go.id/journals/profile/6259,1829-734X,2685-4961,Health,STIKes Surya Global Yogyakarta,S5,No,Yes,"0,00",9,377.0,588.0,http://journal.stikessuryaglobal.ac.id/index.php/SM
Jurnal Kajian Teknik Mesin.,https://sinta.kemdiktisaintek.go.id/journals/profile/4954,2502-843X,2406-9671,Engineering & Computer Science,Universitas 17 Agustus 1945 Jakarta,S5,No,Yes,"0,00",9,349.0,414.0,http://journal.uta45jakarta.ac.id/index.php/jktm
Jurnal Sistem Informasi dan Manajemen.,https://sinta.kemdiktisaintek.go.id/journals/profile/7018,2338-1523,2541-576X,Economics & Business,Institut Teknologi dan Bisnis Indobaru Nasional,S5,No,Yes,"0,00",8,357.0,402.0,https://ojsiibn1.indobarunasional.ac.id/index.php/jursima
JURNAL SINEKTIK,https://sinta.kemdiktisaintek.go.id/journals/profile/13955,2620-6560,2620-764X,General/Multidisciplinary,Universitas Slamet Riyadi,S5,No,No,"0,00",0,0.0,0.0,http://ejurnal.unisri.ac.id/index.php/sin
Jurnal Akuntansi Manajemen.,https://sinta.kemdiktisaintek.go.id/journals/profile/13105,,2828-1977,Economics & Business,Universitas Serang Raya,S5,No,Yes,"0,00",3,54.0,54.0,https://e-jurnal.lppmunsera.org/index.php/Jakmen
Jurnal Anoa Keperawatan Mandala Waluya.,https://sinta.kemdiktisaintek.go.id/journals/profile/14071,,2809-6762,Health,UNIVERSITAS MANDALA WALUYA,S5,No,Yes,"0,00",0,0.0,0.0,http://ejournal.umw.ac.id/jakmw
Almufida.,https://sinta.kemdiktisaintek.go.id/journals/profile/7774,2549-1954,2715-6737,Religion,Universitas Dharmawangsa,S5,No,Yes,"0,00",14,651.0,715.0,http://jurnal.dharmawangsa.ac.id/index.php/almufida
LibTech: Library and Information Science Journal.,https://sinta.kemdiktisaintek.go.id/journals/profile/13300,,2723-7605,Science,Universitas Islam Negeri Maulana Malik Ibrahim Malang,S5,No,Yes,"0,00",0,0.0,0.0,http://ejournal.uin-malang.ac.id/index.php/libtech
